run_id,problem_name,time_to_solution,noise_param,tries,iterations,flips,order_of_colors,order_of_parallel_flips
1,uf5004.cnf,0.2006707099499181,0.5,0,915,915,,
2,uf5004.cnf,0.048712273011915386,0.5,0,183,183,,
3,uf5004.cnf,0.02953911107033491,0.5,0,129,129,,
4,uf5004.cnf,0.02364353509619832,0.5,0,116,116,,
5,uf5004.cnf,0.041022662073373795,0.5,0,188,188,,
6,uf5004.cnf,0.07507563498802483,0.5,0,333,333,,
7,uf5004.cnf,0.038472065003588796,0.5,0,187,187,,
8,uf5004.cnf,0.043264288920909166,0.5,0,178,178,,
9,uf5004.cnf,0.10151466797105968,0.5,0,404,404,,
10,uf5004.cnf,0.03196281706914306,0.5,0,113,113,,
11,uf5004.cnf,0.06492830801289529,0.5,0,263,263,,
12,uf5004.cnf,0.039387078024446964,0.5,0,186,186,,
13,uf5004.cnf,0.10463063709903508,0.5,0,458,458,,
14,uf5004.cnf,0.026668653008528054,0.5,0,122,122,,
15,uf5004.cnf,0.053737837937660515,0.5,0,235,235,,
16,uf5004.cnf,0.03856769599951804,0.5,0,188,188,,
17,uf5004.cnf,0.03520274697802961,0.5,0,160,160,,
18,uf5004.cnf,0.016303804935887456,0.5,0,72,72,,
19,uf5004.cnf,0.0345184140605852,0.5,0,130,130,,
20,uf5004.cnf,0.042806847020983696,0.5,0,182,182,,
21,uf5004.cnf,0.02218405099119991,0.5,0,71,71,,
22,uf5004.cnf,0.034874405013397336,0.5,0,155,155,,
23,uf5004.cnf,0.17026598704978824,0.5,0,763,763,,
24,uf5004.cnf,0.017401686985976994,0.5,0,70,70,,
25,uf5004.cnf,0.1610543120186776,0.5,0,739,739,,
26,uf5004.cnf,0.1417262079194188,0.5,0,660,660,,
27,uf5004.cnf,0.011728071956895292,0.5,0,56,56,,
28,uf5004.cnf,0.10649990208912641,0.5,0,488,488,,
29,uf5004.cnf,0.03832976508419961,0.5,0,177,177,,
30,uf5004.cnf,0.09145188995171338,0.5,0,369,369,,
31,uf5004.cnf,0.3074237130349502,0.5,0,1359,1359,,
32,uf5004.cnf,0.10320705291815102,0.5,0,460,460,,
33,uf5004.cnf,0.0521410129731521,0.5,0,207,207,,
34,uf5004.cnf,0.025002719019539654,0.5,0,110,110,,
35,uf5004.cnf,0.03920023702085018,0.5,0,149,149,,
36,uf5004.cnf,0.052623103954829276,0.5,0,254,254,,
37,uf5004.cnf,0.05496602994389832,0.5,0,286,286,,
38,uf5004.cnf,0.029132550000213087,0.5,0,148,148,,
39,uf5004.cnf,0.017149396939203143,0.5,0,78,78,,
40,uf5004.cnf,0.07144637603778392,0.5,0,340,340,,
41,uf5004.cnf,0.09278297401033342,0.5,0,415,415,,
42,uf5004.cnf,0.08687376801390201,0.5,0,385,385,,
43,uf5004.cnf,0.028733757906593382,0.5,0,135,135,,
44,uf5004.cnf,0.06613016105256975,0.5,0,299,299,,
45,uf5004.cnf,0.013347435975447297,0.5,0,33,33,,
46,uf5004.cnf,0.0496735560009256,0.5,0,210,210,,
47,uf5004.cnf,0.03870683605782688,0.5,0,180,180,,
48,uf5004.cnf,0.02112172800116241,0.5,0,81,81,,
49,uf5004.cnf,0.02674290305003524,0.5,0,106,106,,
50,uf5004.cnf,0.017660607933066785,0.5,0,69,69,,
51,uf5004.cnf,0.014282780000939965,0.5,0,64,64,,
52,uf5004.cnf,0.061602768022567034,0.5,0,263,263,,
53,uf5004.cnf,0.0456998449517414,0.5,0,186,186,,
54,uf5004.cnf,0.10059397493023425,0.5,0,431,431,,
55,uf5004.cnf,0.05284587503410876,0.5,0,234,234,,
56,uf5004.cnf,0.04987971601076424,0.5,0,190,190,,
57,uf5004.cnf,0.05730981705710292,0.5,0,243,243,,
58,uf5004.cnf,0.07083505403716117,0.5,0,284,284,,
59,uf5004.cnf,0.04827452206518501,0.5,0,173,173,,
60,uf5004.cnf,0.042081265011802316,0.5,0,173,173,,
61,uf5004.cnf,0.04036021092906594,0.5,0,186,186,,
62,uf5004.cnf,0.15869997499976307,0.5,0,721,721,,
63,uf5004.cnf,0.20160523196682334,0.5,0,776,776,,
64,uf5004.cnf,0.03214576793834567,0.5,0,134,134,,
65,uf5004.cnf,0.024327917024493217,0.5,0,97,97,,
66,uf5004.cnf,0.1062699609901756,0.5,0,352,352,,
67,uf5004.cnf,0.023896415950730443,0.5,0,69,69,,
68,uf5004.cnf,0.035498967044986784,0.5,0,147,147,,
69,uf5004.cnf,0.010154527961276472,0.5,0,33,33,,
70,uf5004.cnf,0.022049549967050552,0.5,0,85,85,,
71,uf5004.cnf,0.03435196389909834,0.5,0,156,156,,
72,uf5004.cnf,0.04853264300618321,0.5,0,219,219,,
