run_id,problem_name,time_to_solution,noise_param,tries,iterations,flips,order_of_colors,order_of_parallel_flips
1,uf5004.cnf,4.7855254439637065,0.5,0,285,315,"[6, 2, 0, 1, 1, 5, 5, 1, 8, 3, 7, 7, 0, 6, 2, 2, 8, 5, 8, 5, 2, 2, 2, 2, 2, 5, 5, 2, 2, 4, 4, 1, 1, 6, 2, 0, 0, 4, 1, 1, 3, 4, 4, 8, 5, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 2, 2, 0, 0, 4, 4, 0, 0, 2, 2, 4, 4, 4, 0, 6, 7, 6, 0, 0, 0, 0, 0, 0, 0, 4, 2, 2, 2, 8, 2, 2, 8, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 4, 5, 5, 0, 0, 0, 8, 8, 6, 6, 0, 5, 5, 4, 2, 2, 4, 4, 4, 4, 4, 0, 8, 8, 6, 6, 0, 0, 0, 0, 0, 4, 4, 4, 2, 2, 4, 4, 4, 4, 0, 0, 4, 5, 5, 4, 4, 4, 4, 0, 8, 2, 2, 8, 6, 6, 8, 8, 0, 0, 6, 6, 0, 4, 4, 0, 8, 2, 2, 2, 2, 8, 0, 4, 4, 4, 4, 4, 2, 2, 0, 0, 4, 0, 0, 0, 6, 6, 8, 9, 2, 2, 8, 9, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 5, 4, 4, 0, 5, 0, 0, 0, 0, 4, 4, 5, 6, 7, 7, 6, 5, 4, 0, 0, 4, 0, 6, 8, 8, 6, 0, 4, 4, 5, 7, 7, 7, 0, 7, 8, 8, 0, 6, 6, 7, 7, 6, 6, 6, 6, 6, 7, 7, 6, 5, 4, 4, 0, 6, 6, 8, 8, 6, 6, 0, 0, 6, 1, 4, 1, 0, 1, 1, 7, 1, 1, 2, 2, 1, 4, 4, 4, 6]","[3, 2, 2, 2, 3, 4, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,uf5004.cnf,4.434300999040715,0.5,0,286,313,"[6, 8, 3, 6, 3, 0, 2, 3, 7, 3, 8, 5, 4, 5, 8, 8, 4, 6, 0, 3, 2, 5, 4, 0, 7, 0, 0, 0, 5, 5, 0, 6, 6, 0, 0, 0, 4, 4, 4, 0, 0, 0, 0, 4, 4, 2, 2, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 4, 2, 2, 4, 4, 4, 4, 4, 5, 0, 7, 7, 5, 4, 4, 4, 0, 4, 7, 0, 0, 4, 3, 3, 0, 4, 4, 4, 5, 5, 0, 6, 7, 6, 0, 5, 5, 0, 8, 3, 8, 6, 6, 6, 8, 8, 8, 2, 1, 6, 6, 2, 1, 8, 0, 4, 4, 4, 4, 4, 4, 4, 4, 0, 8, 1, 1, 8, 8, 8, 8, 8, 0, 5, 5, 0, 6, 6, 8, 8, 0, 5, 6, 6, 5, 5, 5, 4, 2, 2, 0, 0, 2, 2, 0, 0, 0, 3, 7, 3, 3, 3, 6, 6, 0, 4, 5, 5, 4, 4, 5, 6, 5, 5, 6, 7, 7, 7, 7, 5, 5, 5, 5, 5, 4, 4, 5, 7, 7, 7, 7, 5, 4, 0, 0, 4, 5, 5, 4, 4, 4, 4, 0, 6, 7, 6, 0, 0, 8, 1, 1, 1, 1, 8, 0, 5, 5, 0, 6, 6, 0, 0, 0, 0, 0, 5, 5, 0, 6, 6, 8, 1, 1, 2, 2, 8, 8, 8, 0, 4, 4, 0, 8, 8, 6, 6, 0, 5, 7, 7, 5, 4, 2, 2, 0, 0, 4, 0, 8, 8, 6, 8, 8, 6, 0, 0, 6, 6, 0, 5, 5, 0, 8, 2, 2, 2, 2, 1, 7, 6, 0, 6, 1, 3, 8, 6, 1, 6]","[4, 4, 4, 3, 4, 2, 2, 3, 1, 3, 2, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
2,uf5004.cnf,3.690399645944126,0.5,0,175,216,"[6, 8, 3, 1, 8, 2, 1, 3, 4, 3, 5, 0, 6, 0, 0, 4, 0, 6, 0, 6, 7, 4, 4, 0, 0, 2, 2, 0, 0, 4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 3, 2, 2, 2, 2, 6, 4, 0, 6, 7, 3, 8, 8, 6, 6, 6, 6, 6, 6, 6, 8, 8, 6, 6, 6, 1, 3, 1, 3, 1, 1, 1, 1, 4, 4, 6, 6, 1, 1, 6, 8, 2, 2, 8, 6, 0, 6, 6, 8, 8, 6, 0, 0, 6, 8, 8, 8, 1, 5, 3, 5, 1, 1, 1, 1, 1, 1, 8, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 5, 5, 4, 2, 6, 7, 2, 7, 4, 6, 4, 4, 0, 6, 6, 0, 0, 0, 5, 6, 6, 5, 0, 0, 0, 0, 5, 5, 0, 6, 6, 8, 8, 6, 1, 7, 1, 1, 6]","[5, 3, 4, 4, 3, 3, 4, 2, 3, 4, 3, 2, 3, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,uf5004.cnf,2.924323456012644,0.5,0,87,136,"[2, 0, 6, 3, 7, 5, 8, 4, 8, 1, 4, 5, 2, 1, 7, 7, 7, 4, 3, 3, 7, 7, 0, 5, 3, 7, 3, 3, 7, 8, 8, 4, 4, 5, 2, 2, 4, 4, 2, 5, 2, 2, 2, 2, 2, 2, 3, 2, 2, 5, 5, 0, 0, 0, 4, 8, 8, 5, 5, 5, 1, 6, 6, 6, 1, 1, 1, 6, 4, 4, 0, 7, 1, 1, 8, 6, 8, 8, 6, 6, 6, 1, 1, 1, 3, 3, 7]","[4, 3, 2, 3, 2, 1, 3, 2, 2, 2, 1, 2, 1, 1, 3, 3, 2, 2, 2, 2, 2, 3, 2, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,uf5004.cnf,5.490929801017046,0.5,0,251,304,"[1, 3, 8, 6, 7, 5, 5, 2, 1, 8, 3, 6, 9, 9, 3, 0, 8, 2, 8, 2, 2, 8, 0, 0, 2, 0, 2, 1, 4, 3, 9, 0, 0, 5, 6, 5, 3, 1, 6, 5, 5, 0, 0, 9, 9, 0, 2, 8, 2, 5, 8, 5, 0, 5, 5, 5, 5, 5, 5, 0, 4, 4, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 2, 2, 0, 9, 9, 0, 0, 2, 2, 0, 0, 0, 0, 0, 8, 2, 7, 7, 2, 0, 5, 5, 8, 9, 9, 0, 0, 0, 8, 0, 0, 0, 5, 7, 7, 5, 9, 9, 0, 5, 0, 9, 3, 8, 2, 2, 4, 4, 9, 8, 9, 7, 7, 3, 9, 9, 5, 7, 7, 9, 5, 5, 0, 5, 0, 0, 0, 0, 0, 9, 9, 0, 0, 9, 9, 0, 0, 5, 5, 9, 9, 6, 4, 9, 7, 9, 5, 5, 5, 5, 9, 7, 7, 7, 3, 3, 3, 7, 7, 7, 7, 7, 7, 9, 7, 9, 3, 9, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 5, 5, 9, 9, 5, 5, 5, 3, 5, 3, 5, 1, 1, 5, 9, 9, 5, 5, 9, 9, 5, 5, 9, 7, 4, 7, 9, 6, 5, 0, 0, 0, 0, 8, 0, 2, 2, 2, 2, 4, 3, 5, 5, 3, 2, 5, 3, 6, 2, 2, 1, 0, 9, 4, 0, 7]","[3, 1, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]"
5,uf5004.cnf,3.227877501049079,0.5,0,157,185,"[6, 2, 0, 8, 2, 3, 3, 0, 5, 2, 7, 0, 2, 8, 0, 5, 5, 0, 4, 4, 4, 4, 4, 1, 4, 5, 5, 1, 1, 1, 1, 3, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 4, 2, 2, 0, 2, 2, 0, 2, 2, 4, 4, 2, 2, 4, 4, 4, 4, 2, 2, 4, 0, 0, 4, 4, 4, 2, 2, 0, 0, 2, 2, 4, 4, 2, 2, 4, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 8, 3, 3, 5, 3, 8, 4, 2, 8, 2, 7, 7, 4, 8, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5, 0, 6, 6, 5, 5, 5, 4, 4, 4, 4, 4, 0, 0, 4, 5, 5, 0, 0, 5, 5, 5, 7, 7, 5, 5, 5, 0, 6, 7, 8, 8, 1, 6]","[3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,uf5004.cnf,6.443652865011245,0.5,0,221,341,"[6, 8, 3, 3, 3, 7, 5, 2, 2, 5, 6, 3, 3, 3, 2, 2, 2, 2, 5, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 2, 8, 8, 3, 2, 5, 2, 5, 2, 1, 6, 7, 6, 6, 1, 6, 6, 6, 6, 1, 6, 2, 1, 1, 2, 2, 3, 8, 8, 3, 8, 8, 8, 7, 7, 0, 2, 2, 3, 4, 5, 4, 4, 5, 5, 4, 4, 4, 0, 0, 4, 0, 0, 5, 5, 0, 0, 0, 0, 4, 4, 4, 4, 0, 0, 0, 8, 8, 8, 2, 2, 1, 1, 8, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 5, 5, 0, 0, 4, 4, 4, 4, 0, 0, 0, 6, 6, 8, 8, 0, 4, 4, 4, 2, 2, 4, 0, 0, 5, 4, 0, 7, 7, 4, 5, 5, 5, 5, 5, 0, 0, 4, 0, 0, 2, 2, 2, 2, 2, 2, 4, 0, 6, 8, 8, 6, 0, 4, 4, 0, 6, 6, 6, 6, 6, 8, 8, 6, 6, 1, 4, 7, 3, 3, 3, 7, 1, 2, 2, 1, 4, 1, 6, 6, 8, 8, 6, 8, 9, 9, 8, 6, 1, 4, 4, 6]","[3, 4, 3, 4, 3, 3, 3, 2, 3, 2, 2, 3, 3, 3, 3, 2, 2, 3, 2, 2, 2, 3, 4, 3, 3, 3, 4, 5, 4, 4, 3, 3, 2, 3, 4, 3, 1, 2, 2, 1, 3, 3, 3, 1, 1, 3, 2, 2, 3, 1, 3, 2, 2, 1, 2, 2, 1, 2, 3, 4, 2, 2, 2, 2, 4, 1, 2, 1, 3, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,uf5004.cnf,3.465308693004772,0.5,0,68,137,"[7, 1, 6, 6, 3, 5, 5, 8, 4, 7, 2, 5, 7, 0, 8, 8, 7, 5, 5, 5, 6, 6, 5, 8, 8, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 2, 1, 1, 2, 2, 3, 0, 7, 3, 2, 2, 1, 2, 2, 0, 2, 3, 3, 4, 6, 8, 3, 6, 4, 4, 7, 1]","[4, 2, 5, 4, 1, 3, 2, 3, 2, 2, 1, 3, 2, 2, 2, 1, 1, 2, 3, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2, 1, 2, 3, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]"
8,uf5004.cnf,3.298719754908234,0.5,0,104,147,"[1, 7, 5, 3, 5, 6, 1, 2, 3, 8, 5, 5, 2, 2, 7, 8, 1, 2, 8, 6, 2, 2, 8, 8, 2, 2, 0, 0, 2, 2, 0, 0, 0, 8, 8, 3, 4, 6, 6, 1, 4, 0, 4, 3, 1, 5, 5, 1, 0, 1, 0, 3, 3, 3, 0, 0, 4, 0, 0, 2, 2, 0, 4, 4, 0, 4, 3, 3, 5, 4, 2, 2, 4, 0, 0, 4, 2, 2, 4, 0, 0, 4, 2, 2, 4, 0, 6, 7, 6, 6, 6, 0, 4, 4, 0, 0, 0, 6, 8, 8, 1, 4, 4, 0]","[3, 4, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,uf5004.cnf,3.313373834011145,0.5,0,96,141,"[6, 8, 2, 3, 7, 2, 6, 5, 1, 2, 1, 0, 0, 0, 5, 6, 4, 0, 7, 5, 0, 0, 8, 0, 4, 6, 1, 4, 6, 0, 0, 2, 2, 4, 5, 5, 6, 6, 6, 1, 5, 5, 1, 5, 6, 8, 5, 5, 8, 1, 4, 4, 4, 4, 4, 0, 0, 0, 0, 3, 3, 4, 4, 4, 4, 0, 4, 4, 5, 3, 0, 1, 1, 8, 3, 2, 2, 7, 7, 2, 3, 3, 2, 2, 2, 2, 2, 3, 0, 0, 0, 0, 0, 4, 7, 6]","[3, 3, 3, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
